PID;COMMAND;%CPU;TIME;#TH;#WQ;#PORT;MEM;PURG;CMPRS;PGRP
0    ;kernel_task ;5.6      ;2020-05-23 16:35:07;169/4;0   ;0    ;427M  ;0B    ;0B    ;0
685  ;com.docker.h;3.6      ;2020-05-25 17:16:04;15   ;0   ;38   ;973M  ;0B    ;346M  ;678
9341 ;Google Chrom;3.4      ;2020-05-22 07:46:04;14   ;1   ;181  ;49M   ;4096B ;0B    ;1024
9271 ;top         ;3.3      ;2020-05-13 02:47:46;1/1  ;0   ;43   ;4436K ;0B    ;0B    ;9271
239  ;WindowServer;3.2      ;2020-05-24 16:22:28;10   ;4   ;1699 ;658M  ;13M   ;64M   ;239
9202 ;Terminal    ;3.2      ;2020-05-23 02:34:48;7    ;2   ;246+ ;49M+  ;6964K ;0B    ;9202
153  ;hidd        ;2.6      ;2020-05-22 11:41:47;6    ;3   ;284  ;3932K ;0B    ;884K  ;153
601  ;Adobe CEF He;2.5      ;2020-05-21 11:11:47;11   ;1   ;176  ;186M+ ;0B    ;49M   ;548
1082 ;Google Chrom;1.7      ;2020-05-14 08:25:07;18   ;1   ;2009 ;309M  ;0B    ;152M  ;1024
